实际值,预测值
138.19119262695312,116.47743
132.56759643554688,106.959724
118.8761978149414,99.29267
105.00900268554688,87.93135
91.45980072021484,81.23968
78.24240112304688,68.69516
61.85580062866211,59.614006
48.37739944458008,48.22616
36.678001403808594,36.273987
25.834400177001953,27.43723
15.738200187683105,20.983355
8.757599830627441,14.762404
3.996799945831299,9.319608
0.1972000002861023,5.239888
0.36559998989105225,1.5083472
0.14100000262260437,0.4157846
0.017799999564886093,0.09001523
0.025800000876188278,0.1400067
0.02019999921321869,0.45946342
0.017000000923871994,0.3495933
0.020800000056624413,0.45180428
0.025800000876188278,0.38829297
0.016200000420212746,0.33033803
0.0272000003606081,0.31266606
0.02239999920129776,0.3987138
0.019200000911951065,0.3347108
0.01679999940097332,0.29092506
0.01360000018030405,0.42117518
0.021400000900030136,0.42873114
0.02199999988079071,0.52160347
0.022199999541044235,0.4172928
0.02759999968111515,0.11674484
0.026599999517202377,0.42899334
0.019600000232458115,0.37847477
0.027000000700354576,0.3805346
0.027000000700354576,0.37804615
0.029999999329447746,1.3883476
0.0414000004529953,0.03521675
0.03020000085234642,0.015992042
0.03200000151991844,0.017152824
0.031599998474121094,0.016259287
0.02539999969303608,0.01567604
0.031199999153614044,0.015411335
0.03359999880194664,0.017531937
0.03359999880194664,0.01742955
0.031199999153614044,0.017351257
0.03880000114440918,0.015823223
0.035599999129772186,0.018641805
0.030400000512599945,0.016715001
0.02500000037252903,0.017898472
0.031199999153614044,0.016611941
0.026799999177455902,0.017699802
0.02539999969303608,0.018139815
0.03480000048875809,0.01779413
0.025599999353289604,0.016816186
0.025200000032782555,0.02050044
0.012799999676644802,-0.023653265
0.02280000038444996,0.018532017
0.02879999950528145,0.52926946
0.012799999676644802,1.417383
0.25380000472068787,3.3836262
4.08459997177124,6.6964545
7.51039981842041,12.757689
17.123600006103516,20.74637
27.73979949951172,26.934135
28.107200622558594,38.90918
38.761600494384766,47.745506
45.32360076904297,57.52424
59.136199951171875,69.006226
46.665199279785156,79.95838
49.40399932861328,89.77635
62.4734001159668,103.557175
71.1187973022461,116.01211
95.25920104980469,129.3347
